Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,agadir2,"Agadir Hair Oil 2oz (Free with $75 Purchase)",1,$90.00,$0.00,$90.00,$90.00,$0.00,$90.00
2015,ageless,"Image Skincare Ageless Trial Kit (Free Gift with $75 Purchase)",3,$445.70,$0.00,$445.70,$445.70,$0.00,$445.70
2015,alex,"10% off alex cosmetic - &quot;ALEX&quot;",1,$145.00,$14.50,$130.50,$145.00,$14.50,$130.50
2015,Alsave10,"Storewide 10% Off Welcome Series!",10,$789.90,$75.70,$714.20,$789.90,$75.70,$714.20
2015,ALSAVE15,"Lollia, Tokyo, LOF, and Clayton 15% Off Code",54,"$4,888.00",$730.35,"$4,157.65","$4,888.00",$730.35,"$4,157.65"
2015,ALSAVE5,"Storewide 5% Off Welcome Series!",7,$527.05,$26.36,$500.69,$527.05,$26.36,$500.69
2015,ANNEM,"Eminence Blotting Sheets (Free with $30 Purchase)",2,$134.00,$0.00,$134.00,$134.00,$0.00,$134.00
2015,ANNVC,"Image Skincare Vital C Serum 1.7oz (Free with $200 Purchase)",7,"$1,759.70",$0.00,"$1,759.70","$1,759.70",$0.00,"$1,759.70"
2015,bdyspa,"Image Skincare Body Spa Trial Kit ",1,$110.00,$0.00,$110.00,$110.00,$0.00,$110.00
2015,beauty,"Newsletter Welcome 10%",171,"$11,591.39","$1,143.70","$10,447.69","$11,591.39","$1,143.70","$10,447.69"
2015,BGMD,"25% off Obagi Landing Page",22,"$3,514.98",$788.28,"$2,726.70","$3,514.98",$788.28,"$2,726.70"
2015,BLGLVE,"Blog Sign Up 15% Off",13,"$2,271.50",$340.73,"$1,930.77","$2,271.50",$340.73,"$1,930.77"
2015,BRAD20,BradsDeals.com,6,$594.00,$120.00,$474.00,$594.00,$120.00,$474.00
2015,bunny,"Happy Easter 10% off 2015",79,"$4,398.64",$439.88,"$3,958.76","$4,398.64",$439.88,"$3,958.76"
2015,bunny2,"Happy Easter $20 off $100+ 2015",51,"$6,156.03","$1,020.00","$5,136.03","$6,156.03","$1,020.00","$5,136.03"
2015,bunny3,"Happy Easter $30 off $150+ 2015",27,"$4,502.90",$810.00,"$3,692.90","$4,502.90",$810.00,"$3,692.90"
2015,bunny4,"Happy Easter $40 off $200+ 2015",44,"$11,085.81","$1,760.00","$9,325.81","$11,085.81","$1,760.00","$9,325.81"
2015,Camobrush,"Glo Minerals Camouflage Brush (FREE Gift With $50 Purchase) ",3,$451.00,$0.00,$451.00,$451.00,$0.00,$451.00
2015,CANADA,"Free shipping to Canada on $125+",3,$453.60,$0.00,$453.60,$453.60,$0.00,$453.60
2015,CANADA10fs,"FREE CANADA SHIPPING SAVE 10%",1,$224.00,$22.40,$201.60,$224.00,$22.40,$201.60
2015,CELEBRITY,"Celebrity E Book 10% Savings",1,$62.50,$6.25,$56.25,$62.50,$6.25,$56.25
2015,CLCL2,"Postcard #16 Clayton 20% off 119+!",5,$873.00,$174.60,$698.40,$873.00,$174.60,$698.40
2015,CLEARTRAVEL,"Popup - Free Travel Bottles over $100",2,$462.00,$0.00,$462.00,$462.00,$0.00,$462.00
2015,CMEP,"Epicuren Retinol Anti-Wrinkle Complex 1.7oz (Free with $138 Purchase)",1,$103.00,$0.00,$103.00,$103.00,$0.00,$103.00
2015,CNBG,"100% Pure Cotton Tote Bag (Free with $50 Purchase)",1,$65.00,$0.00,$65.00,$65.00,$0.00,$65.00
2015,cser,"Eminence Organics Couperose-C Serum 1oz Serum (Free with $200 Purchase)",3,$635.00,$0.00,$635.00,$635.00,$0.00,$635.00
2015,DGD1,"Dermalogica Postcard #16",5,$312.63,$29.03,$283.60,$312.63,$29.03,$283.60
2015,DGD2,"Dermalogica postcard #16 20% off 119+",4,"$1,060.80",$130.20,$930.60,"$1,060.80",$130.20,$930.60
2015,DMGSHH,"Cheers to Happy Skin Success Coupon (Free Gift)",7,$350.40,$0.00,$350.40,$350.40,$0.00,$350.40
2015,dquest2,"Dermaquest 25% Off Adwords code",36,"$4,559.00","$1,139.79","$3,419.21","$4,559.00","$1,139.79","$3,419.21"
2015,EALPHA,"Epicuren Alpha Lipoic Cream 1oz (Free Gift with $200 Purchase)",3,$820.00,$0.00,$820.00,$820.00,$0.00,$820.00
2015,EARTHWEEK,"Earthweek 15% off Organic",2,$161.00,$22.80,$138.20,$161.00,$22.80,$138.20
2015,emer2,"EmerginC 20% off",10,"$1,929.00",$367.60,"$1,561.40","$1,929.00",$367.60,"$1,561.40"
2015,epac,"Epicuren Acidolphilus 1oz (Free Gift with $125 Purchase - Video Email)",18,"$3,824.92",$0.00,"$3,824.92","$3,824.92",$0.00,"$3,824.92"
2015,"EPAP ","Epicuren After Bath Moisturizer 2oz Papaya Pineapple (FREE Gift with $50 Purchase)",1,$63.00,$0.00,$63.00,$63.00,$0.00,$63.00
2015,epku,"Epicuren After Bath Moisturizer 2oz Kukui Coconut (FREE Gift with $50 Purchase)",16,"$1,555.00",$0.00,"$1,555.00","$1,555.00",$0.00,"$1,555.00"
2015,epog,"Epicuren After Bath Moisturizer 2oz Orange Blossom (FREE Gift with $50 Purchase)",2,$141.00,$0.00,$141.00,$141.00,$0.00,$141.00
2015,EPRW,"Epicuren Retinol Anti-Wrinkle Complex (Free with $300 Purchase)",1,$309.00,$0.00,$309.00,$309.00,$0.00,$309.00
2015,Eptrl,"Epicuren Normal &amp; Anti-Aging Kit (Free with $50 Purchase)",4,$286.00,$0.00,$286.00,$286.00,$0.00,$286.00
2015,EPUC,"Epicuren After Bath Moisturizer 2oz Unscented (FREE Gift with $50 Purchase)",1,$70.00,$0.00,$70.00,$70.00,$0.00,$70.00
2015,EYEREV7,"Rhonda Allison Eye Revitalizer .25oz (Free with $85 Purchase)",14,"$1,439.00",$0.00,"$1,439.00","$1,439.00",$0.00,"$1,439.00"
2015,family949,"Friends &amp; Family",15,$547.00,$180.51,$366.49,$547.00,$180.51,$366.49
2015,FREECLEANSERSR,"Eminence Organics Sweet Red Rose Cleanser (FREE Gift with $150 Purchase)",1,$179.00,$0.00,$179.00,$179.00,$0.00,$179.00
2015,"FRQNCH ","Osmosis Quench 1oz (Free Gift with $200 Purchase)",1,$436.00,$0.00,$436.00,$436.00,$0.00,$436.00
2015,fscom15,"FreeShipping.com 15% off reg price",1,$38.95,$5.84,$33.11,$38.95,$5.84,$33.11
2015,GLMN25,"Glo Minerals 25% off promo (Over $50)",30,"$3,065.00",$667.30,"$2,397.70","$3,065.00",$667.30,"$2,397.70"
2015,glocontour,"Glo Minerals Eye Contour Brush (Free Gift With $50 GloMinerals Purchase)",5,$805.50,$0.00,$805.50,$805.50,$0.00,$805.50
2015,GLSHINE,"Glo Minerals Lipgloss in Shine (Free with $50 Purchase)",3,$267.00,$0.00,$267.00,$267.00,$0.00,$267.00
2015,Gmc2,"GM Collin Page Banner 20% (GMC2)",10,"$1,323.00",$260.40,"$1,062.60","$1,323.00",$260.40,"$1,062.60"
2015,GSER,"Eminence Green Tea &amp; Guava Serum (Free with $200 Purchase)",2,$459.50,$0.00,$459.50,$459.50,$0.00,$459.50
2015,image,"15% off Image Skincare no expiration &quot;IMAGE&quot;",181,"$18,894.41","$2,685.29","$16,209.12","$18,894.41","$2,685.29","$16,209.12"
2015,j4you,"J4YOU 15% - 1 TIME USE",1,$44.00,$6.60,$37.40,$44.00,$6.60,$37.40
2015,JJACB25,"June Jacobs 25% Off Landing Page Code",9,$495.00,$120.00,$375.00,$495.00,$120.00,$375.00
2015,JMRET2,"Jan Marini Postcard #16 20% off $119+!",1,$220.00,$44.00,$176.00,$220.00,$44.00,$176.00
2015,LBDNUDE,"La Bella Don Nude Lipstick (FREE Gift with $75 Purchase)",3,$322.00,$0.00,$322.00,$322.00,$0.00,$322.00
2015,lbdplat,"La Bella Don Platinum Eyeshadow (FREE Gift with $50 Purchase)",1,$55.00,$0.00,$55.00,$55.00,$0.00,$55.00
2015,Lbdsp1,"la bella donna postcard #16 15% Off!",4,$408.00,$43.80,$364.20,$408.00,$43.80,$364.20
2015,LBDSP2,"la bella donna postcard #16 20% off $199+",5,"$1,035.50",$207.10,$828.40,"$1,035.50",$207.10,$828.40
2015,LIPBALM,"Eminence Organics Citrus Lip Balm (FREE Gift with $50 Purchase)",7,"$1,275.00",$0.00,"$1,275.00","$1,275.00",$0.00,"$1,275.00"
2015,LKEMARCH2,"ilike postcard #16 20% off $119!",2,$328.00,$65.60,$262.40,$328.00,$65.60,$262.40
2015,mcvtk,"Popup - Free Image Vital C Kit over $75",6,$671.30,$0.00,$671.30,$671.30,$0.00,$671.30
2015,MDK8SB,"Medik8 10% off (Landing Page)",18,"$2,160.00",$216.00,"$1,944.00","$2,160.00",$216.00,"$1,944.00"
2015,milkcleanse,"Epicuren Milk Cleanser 2oz (Free Gift with $85 Purchase)",7,$783.00,$0.00,$783.00,$783.00,$0.00,$783.00
2015,MSMARCH1,"Osmosis Postcard 15% Off!",1,$46.00,$6.90,$39.10,$46.00,$6.90,$39.10
2015,MSMARCH2,"Osmosis Postcard 20% Off $119+!",2,$750.00,$150.00,$600.00,$750.00,$150.00,$600.00
2015,parfait77,"Rhonda Allison Pumpkin Parfait Enzyme .5oz (Free Gift With $100 Purchase)",4,$712.00,$0.00,$712.00,$712.00,$0.00,$712.00
2015,PMDLVE,"20% off PMD Landing PAge",3,$517.00,$103.40,$413.60,$517.00,$103.40,$413.60
2015,PMDSAVE2,"PMD 20% Off!",1,$179.00,$35.80,$143.20,$179.00,$35.80,$143.20
2015,PPYSCRUB,"Eminence Organics Scrub Pear &amp; Poppy Seed Scrub (FREE Gift with $200 Purchase)",1,$203.00,$0.00,$203.00,$203.00,$0.00,$203.00
2015,RADROPS,"Rhonda Allison Drops of Essence 1.7 (Free Gift with $200 Purchase)",8,"$2,027.00",$0.00,"$2,027.00","$2,027.00",$0.00,"$2,027.00"
2015,ragrowth,"Rhonda Allison Growth Factor Plus 0.25oz (Free Gift with $125)",7,"$1,013.00",$0.00,"$1,013.00","$1,013.00",$0.00,"$1,013.00"
2015,rapumpkin,"Rhonda Allison Pumpkin Cleanser 1oz (Free with $50 Purchase)",32,"$2,546.83",$0.00,"$2,546.83","$2,546.83",$0.00,"$2,546.83"
2015,RAREMOVE,"Rhonda Allison Makeup Remover .25oz (Free Gift with $25 Purchase)",2,$102.50,$0.00,$102.50,$102.50,$0.00,$102.50
2015,ratr21,"21% TRIA RACHEL CODE",2,"$44,900.00","$9,429.00","$35,471.00","$44,900.00","$9,429.00","$35,471.00"
2015,RATR22,"22% TRIA RACHEL CODE",2,"$1,784.00",$392.48,"$1,391.52","$1,784.00",$392.48,"$1,391.52"
2015,replace2," 20% replace2 ",1,$397.00,$79.40,$317.60,$397.00,$79.40,$317.60
2015,roselave,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",15,$899.99,$0.00,$899.99,$899.99,$0.00,$899.99
2015,save10,"New Customer Business Card Code 10%",120,"$10,193.57","$1,005.79","$9,187.78","$10,193.57","$1,005.79","$9,187.78"
2015,SAVE10CJ,"SAVE10CJ - 10% off any order ",139,"$10,714.58","$1,059.73","$9,654.85","$10,714.58","$1,059.73","$9,654.85"
2015,SOCIAL,"Social Sharing 5% Coupon (ask Jared)",1,$17.00,$0.85,$16.15,$17.00,$0.85,$16.15
2015,STSER,"Eminence Organic Stone Crop Serum (Free with $200 Purchase)",1,$216.00,$0.00,$216.00,$216.00,$0.00,$216.00
2015,THANKU,"Returning Customer Business Card Code 10% off!",76,"$6,957.28",$669.06,"$6,288.22","$6,957.28",$669.06,"$6,288.22"
2015,trawen20,"20% TRIA WENDY CODE",2,"$1,347.00",$269.40,"$1,077.60","$1,347.00",$269.40,"$1,077.60"
2015,TRIALA,"Image Skincare Ageless Trial Kit (Free with $100 Purchase)",1,$137.90,$0.00,$137.90,$137.90,$0.00,$137.90
2015,TRIALV,"Image Skincare Vital C Trial Kit (Free with $100 Purchase)",2,$267.90,$0.00,$267.90,$267.90,$0.00,$267.90
2015,TRLRAD,"Trilogy Instant Radiance Collection (Free with $50 Purchase)",1,$124.00,$0.00,$124.00,$124.00,$0.00,$124.00
2015,TROPLAVE,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",7,$368.00,$0.00,$368.00,$368.00,$0.00,$368.00
2015,VSGEL,"Vivant Skincare BP %10 Gel 2oz (Free with $50 Purchase)",1,$60.00,$0.00,$60.00,$60.00,$0.00,$60.00
2015,Welcome,Welcome!,13,$717.00,$71.70,$645.30,$717.00,$71.70,$645.30
2015,XCAL1,"Postcard #16 15% off OxygenBotanicals",2,$110.90,$16.64,$94.26,$110.90,$16.64,$94.26
2015,XCAL2,"Postcard #16 20% off OxygenBotanicals",1,$239.00,$47.80,$191.20,$239.00,$47.80,$191.20
2015,YBLVE2,"Youngblood 20% Off Promo",19,"$1,351.00",$260.60,"$1,090.40","$1,351.00",$260.60,"$1,090.40"
Total,,,1423,"$195,925.06","$27,263.16","$168,661.90","$195,925.06","$27,263.16","$168,661.90"
