Order ID,Event Date,Publisher Name,Website Name,Action Name,Action Type,Status,Sale Amount (USD),Corrected Amount (USD),Order Discount (USD),Advertiser Commission (USD),Publisher Commission (USD),CJ Fee (USD),Operating System,Device Name,Browser,Is Tablet,Model,Ad ID,Coupon,Click Referring URL
300093039,3/31/2015 22:51,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - New Customer,Advanced Sale,Extended,16.56,0,1.84,-0.797,0.497,0.3,OS X,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300093039,3/31/2015 22:51,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,New,16.56,0,1.84,-0.797,0.497,0.3,OS X,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300093021,3/31/2015 18:16,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,38,0,0,-1.482,1.14,0.342,iOS,iPad,Safari,TRUE,iPad,12085311,,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300093021,3/31/2015 18:16,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,New,38,0,0,-1.482,1.14,0.342,iOS,iPad,Safari,TRUE,iPad,12085311,,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092997,3/31/2015 13:50,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,85.5,0,9.5,-3.335,2.565,0.77,OS X,Desktop,Safari,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092997,3/31/2015 13:50,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,New,85.5,0,9.5,-3.335,2.565,0.77,OS X,Desktop,Safari,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092988,3/31/2015 13:25,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,41.4,0,4.6,-1.615,1.242,0.373,Windows 7,,Mozilla,,,12085311,SAVE10CJ,http://www.retailmenot.com/view/skincarebyalana.com
300092988,3/31/2015 13:25,WhaleShark Media: RetailMeNot.com,RetailMeNot,SkincareByAlana.com Purchase - New Customer,Advanced Sale,New,41.4,0,4.6,-1.615,1.242,0.373,Windows 7,,Mozilla,,,12085311,SAVE10CJ,http://www.retailmenot.com/view/skincarebyalana.com
300092987,3/31/2015 12:31,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,New,201.5,0,0,-7.859,6.045,1.814,Windows,,Mozilla,,,12085311,MCVTK,http://www.coupons.com/coupon-codes/skincare-by-alana/?cid=578436_2&pos=1&utm_expid=87900937-11.0Ha6
300092987,3/31/2015 12:31,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - New Customer,Advanced Sale,Extended,201.5,0,0,-7.859,6.045,1.814,Windows,,Mozilla,,,12085311,MCVTK,http://www.coupons.com/coupon-codes/skincare-by-alana/?cid=578436_2&pos=1&utm_expid=87900937-11.0Ha6
300092943,3/31/2015 10:02,TopCashback (USA) INC,TopCashBack.com,Skincare By Alana purchase,Advanced Sale,Extended,36,0,4,-6.084,4.68,1.404,Windows 8,Desktop,IE,FALSE,Desktop,10833043,SAVE10CJ,http://cn.topcashback.com/redirect.aspx?mpurl=skincare-by-alana&instant=False&url=http://www.jdoqocy
300092943,3/31/2015 10:02,TopCashback (USA) INC,TopCashBack.com,SkincareByAlana.com Purchase - New Customer,Advanced Sale,New,36,0,4,-6.084,4.68,1.404,Windows 8,Desktop,IE,FALSE,Desktop,10833043,SAVE10CJ,http://cn.topcashback.com/redirect.aspx?mpurl=skincare-by-alana&instant=False&url=http://www.jdoqocy
300092968,3/31/2015 9:29,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,41.4,0,4.6,-1.615,1.242,0.373,OS X,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092968,3/31/2015 9:29,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - New Customer,Advanced Sale,New,41.4,0,4.6,-1.615,1.242,0.373,OS X,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092965,3/31/2015 9:25,StarThrust.com,Virtual Flubber 1 (Forwards & Statistics),Skincare By Alana purchase,Advanced Sale,Extended,13,0,0,-1.69,1.3,0.39,Windows,Desktop,Firefox,FALSE,Desktop,11970120,,http://cheap-kingdom.us/test/gateway.new.php?vuri=/store/beauty/skin-care-gifts-1.php
300092965,3/31/2015 9:25,StarThrust.com,Virtual Flubber 1 (Forwards & Statistics),SkincareByAlana.com Purchase - New Customer,Advanced Sale,New,13,0,0,-2.028,1.56,0.468,Windows,Desktop,Firefox,FALSE,Desktop,11970120,,http://cheap-kingdom.us/test/gateway.new.php?vuri=/store/beauty/skin-care-gifts-1.php
300092947,3/31/2015 5:59,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,36,0,4,-1.404,1.08,0.324,Windows XP,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300092947,3/31/2015 5:59,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,New,36,0,4,-1.404,1.08,0.324,Windows XP,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300092946,3/31/2015 5:57,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,39.75,0,13.25,-1.551,1.193,0.358,Windows XP,Desktop,Chrome,FALSE,Desktop,12085311,GLMN25,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300092946,3/31/2015 5:57,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,New,39.75,0,13.25,-1.551,1.193,0.358,Windows XP,Desktop,Chrome,FALSE,Desktop,12085311,GLMN25,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300092941,3/31/2015 5:04,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,New,101,0,0,-15.756,12.12,3.636,OS X,Desktop,Safari,FALSE,Desktop,11600828,GLOCONTOUR,http://www.ebates.com/skincarebyalana_12408-xfas?navigation_id=22620&sourceName=Web-Desktop
300092941,3/31/2015 5:04,"Ebates Performance Marketing, Inc.",Ebates.com,SkincareByAlana.com Purchase - New Customer,Advanced Sale,Extended,101,0,0,-15.756,12.12,3.636,OS X,Desktop,Safari,FALSE,Desktop,11600828,GLOCONTOUR,http://www.ebates.com/skincarebyalana_12408-xfas?navigation_id=22620&sourceName=Web-Desktop
300092913,3/30/2015 15:55,"Offers.com - Vertive, LLC",CouponCodes.com,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,79.9,0,14.1,-3.116,2.397,0.719,iOS,iPad,Safari,TRUE,iPad,11600828,DGD1,http://www.couponcodes.com/skincarebyalana-coupons
300092913,3/30/2015 15:55,"Offers.com - Vertive, LLC",CouponCodes.com,Skincare By Alana purchase,Advanced Sale,New,79.9,0,14.1,-10.387,7.99,2.397,iOS,iPad,Safari,TRUE,iPad,11600828,DGD1,http://www.couponcodes.com/skincarebyalana-coupons
300092909,3/30/2015 15:28,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,90.9,0,10.1,-3.545,2.727,0.818,Windows,,Mozilla,,,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092909,3/30/2015 15:28,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - New Customer,Advanced Sale,New,90.9,0,10.1,-3.545,2.727,0.818,Windows,,Mozilla,,,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092905,3/30/2015 14:48,WhaleShark Media: RetailMeNot.com,RetailMeNot,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,88.2,0,9.8,-3.44,2.646,0.794,Android 4.0.x Ice Cream Sandwich,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.retailmenot.com/view/skincarebyalana.com
300092905,3/30/2015 14:48,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,New,88.2,0,9.8,-3.44,2.646,0.794,Android 4.0.x Ice Cream Sandwich,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.retailmenot.com/view/skincarebyalana.com
300092900,3/30/2015 13:51,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,36,0,4,-1.404,1.08,0.324,Windows 7,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092900,3/30/2015 13:51,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,New,36,0,4,-1.404,1.08,0.324,Windows 7,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?utm_expid=87900937-11.0Ha6YdkUTNiUxHO1p8Ce1Q.
300092889,3/30/2015 13:08,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,12.6,0,1.4,-0.678,0.378,0.3,Windows 7,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300092889,3/30/2015 13:08,Coupons.com Incorporated,coupons.com,SkincareByAlana.com Purchase - New Customer,Advanced Sale,New,12.6,0,1.4,-0.678,0.378,0.3,Windows 7,Desktop,Chrome,FALSE,Desktop,12085311,SAVE10CJ,http://www.coupons.com/coupon-codes/skincare-by-alana/?ver=alertsignup&utm_expid=87900937-11.0Ha6Ydk
300092883,3/30/2015 11:45,Shopathome.com,shopathome,SkincareByAlana.com Purchase - Existing Customer,Advanced Sale,Extended,17,0,0,-0.81,0.51,0.3,Windows 7,Desktop,IE,FALSE,Desktop,10833028,,
