 Invoice Number, Status, Gross, Fee, Net, Reserve
,Placed,-13.49,...,-13.49,
,Placed,-4.4,...,-4.4,
,Placed,-0.73,...,-0.73,
300099158,Completed,90,-1.91,88.09,
300099157,Completed,118.15,-2.44,115.71,
,Placed,-18.42,...,-18.42,
,Placed,-4.34,...,-4.34,
300099156,Completed,275.25,-5.43,269.82,
300099155,Completed,15,-0.49,14.51,
200000220,Completed,375.7,-7.29,368.41,
300099154,Completed,90,-3.15,86.85,
,Placed,-2.93,...,-2.93,
300099153,Completed,59.96,-1.34,58.62,
,Placed,-2.24,...,-2.24,
,Placed,-0.19,...,-0.19,
300099151,Completed,4,-0.23,3.77,
300099152,Completed,45.9,-1.07,44.83,
,Completed,24.15,0,24.15,
,Completed,-1000,24.15,-975.85,
,Canceled,975.85,0,975.85,
,Placed,-6.56,...,-6.56,
,Completed,133.92,-2.74,131.18,
,Placed,-24.61,...,-24.61,
,Completed,510,-17.85,492.15,
,Placed,-3.43,...,-3.43,
,Completed,70.2,-1.53,68.67,
,Placed,-1.24,...,-1.24,
,Placed,-199.64,...,-199.64,
,Completed,4070.4,-77.54,3992.86,
300099150,Completed,25.5,-0.68,24.82,
300099149,Completed,4070.4,-77.54,3992.86,
,Placed,-2.86,...,-2.86,
,Completed,0.31,0,0.31,
,Completed,-15.95,0.31,-15.64,
,Placed,-8.27,...,-8.27,
,Placed,-3.42,...,-3.42,
300099148,Completed,168.75,-3.41,165.34,
300099147,Completed,58.5,-1.31,57.19,
300099146,Completed,70.95,-2.48,68.47,
,Placed,-5.68,...,-5.68,
300099145,Completed,116,-2.4,113.6,
,Completed,16.95,0,16.95,
,Completed,-700,16.95,-683.05,
,Canceled,683.05,0,683.05,
,Placed,-5.88,...,-5.88,
300099141,Completed,70.2,-1.53,68.67,
300099140,Completed,120,-2.48,117.52,
,Placed,-3.76,...,-3.76,
,Placed,-0.92,...,-0.92,
,Completed,-898,-20,-918,
INV2-M89K-SNQL-PZGC-JR5T,Completed,78,-2.88,75.12,
45175,Paid,78,0,78,
300099139,Completed,18.9,-0.51,18.39,
,Placed,-3.5,...,-3.5,
300099138,Completed,71.5,-1.56,69.94,
300014155,Completed,133.92,-2.74,131.18,
,Placed,-5.63,...,-5.63,
,Placed,-3.83,...,-3.83,
,Placed,-2.42,...,-2.42,
