Order ID,Event Date,Publisher Name,Sale Amount (USD),order count,coupon code,Refunded
300089981,2/28/2015 19:50,WhaleShark Media: RetailMeNot.com, $89.00 ,3,AGELESS,
300089975,2/28/2015 19:17,Coupons.com Incorporated, $93.60 ,0,SAVE10CJ,
300089973,2/28/2015 17:37,Coupons.com Incorporated, $81.90 ,0,SAVE10CJ,
300089948,2/28/2015 12:26,WhaleShark Media: RetailMeNot.com, $12.60 ,0,SAVE10CJ,
300089937,2/28/2015 10:37,Coupons.com Incorporated, $78.75 ,3,save10cj,
300089938,2/28/2015 10:40,Coupons.com Incorporated, $23.85 ,3,save10cj,
300089915,2/27/2015 23:52,CouponCabin, $75.60 ,14,Save10cj,
300089913,2/27/2015 22:24,Shopathome.com, $59.96 ,3,,
300089897,2/27/2015 16:50,"Ebates Performance Marketing, Inc.", $77.00 ,0,,
300089877,2/27/2015 12:51,Coupons.com Incorporated, $21.60 ,0,save10cj,
300089876,2/27/2015 12:38,WhaleShark Media: RetailMeNot.com, $43.20 ,14,SAVE10CJ,
300089875,2/27/2015 12:00,WhaleShark Media: RetailMeNot.com, $89.26 ,0,,
300089838,2/27/2015 6:09,"Ebates Performance Marketing, Inc.", $26.00 ,5,,
300089827,2/26/2015 19:31,Coupons.com Incorporated, $73.80 ,2,SAVE10CJ,
300089791,2/26/2015 11:43,Coupons.com Incorporated, $32.40 ,7,SAVE10CJ,
300089788,2/26/2015 11:38,WhaleShark Media: RetailMeNot.com, $60.00 ,0,,
300089780,2/26/2015 10:16,Coupons.com Incorporated, $70.20 ,5,SAVE10CJ,
300089776,2/26/2015 9:27,Extrabux, $898.00 ,16,china,Full Refund
300089747,2/25/2015 20:40,"Ebates Performance Marketing, Inc.", $30.60 ,0,Save10cj,
300089720,2/25/2015 11:30,"Ebates Performance Marketing, Inc.", $111.36 ,5,xcal2,
300089723,2/25/2015 11:37,CouponCabin, $28.80 ,8,SAVE10CJ,
300089700,2/25/2015 9:15,WhaleShark Media: RetailMeNot.com, $78.75 ,23,SAVE10CJ,
300089689,2/25/2015 7:24,Coupons.com Incorporated, $58.23 ,5,save10cj,
300089678,2/24/2015 22:35,CouponCabin, $44.10 ,0,SAVE10CJ,
300089676,2/24/2015 21:37,Coupons.com Incorporated, $82.80 ,0,SAVE10CJ,
300089666,2/24/2015 19:11,Coupons.com Incorporated, $32.40 ,3,SAVE10CJ,
300089654,2/24/2015 15:51,Namespace, $81.75 ,8,BGMD,
300089639,2/24/2015 13:32,Mega Information Technology Limited, $124.18 ,0,,
300089641,2/24/2015 13:13,"Ebates Performance Marketing, Inc.", $71.00 ,0,,
300088253,2/24/2015 11:06,Coupons.com Incorporated, $65.00 ,5,EPKU,
300089618,2/24/2015 10:36,Coupons.com Incorporated, $29.70 ,0,SAVE10CJ,Full Refund
300089612,2/24/2015 9:31,Mega Information Technology Limited, $83.30 ,3,alsave15,
300089594,2/24/2015 6:58,Coupons.com Incorporated, $28.80 ,0,save10cj,
300089590,2/24/2015 5:31,"Ebates Performance Marketing, Inc.", $37.50 ,1,BGMD,
300089587,2/24/2015 3:54,Coupons.com Incorporated, $171.00 ,4,SAVE10CJ,
300089578,2/23/2015 20:15,WhaleShark Media: RetailMeNot.com, $32.40 ,0,SAVE10CJ,
300089569,2/23/2015 17:51,"Ebates Performance Marketing, Inc.", $36.00 ,0,BGMD,
300089526,2/23/2015 10:21,Coupons.com Incorporated, $18.90 ,2,SAVE10CJ,
300089462,2/22/2015 13:41,"Ebates Performance Marketing, Inc.", $27.90 ,0,Save10cj,
300089460,2/22/2015 13:16,"FatWallet, Inc.", $91.80 ,0,ALSAVE15,
300089452,2/22/2015 10:50,Shopathome.com, $53.64 ,8,,
300089386,2/21/2015 8:22,WhaleShark Media: RetailMeNot.com, $23.40 ,0,SAVE10CJ,
300089380,2/21/2015 4:44,CouponCabin, $65.00 ,2,,
300089375,2/20/2015 22:40,WhaleShark Media: RetailMeNot.com, $111.60 ,2,SAVE10CJ,
300089346,2/20/2015 13:00,"Ebates Performance Marketing, Inc.", $64.70 ,0,,
300021679,3/30/2013 0:00,Extrabux, $455.20 ,1,ravc125,
300021679-1,3/30/2013 0:00,Extrabux, $455.20 ,1,ravc125,
300076786,11/3/2014 22:00,"Ebates Performance Marketing, Inc.", $291.15 ,1,BEAUTY,
300089321,2/20/2015 9:00,DealCatcher, $40.00 ,4,TGBSHH,
300089302,2/19/2015 21:00,"Ebates Performance Marketing, Inc.", $151.20 ,0,SAVE10CJ,
300089297,2/19/2015 19:19,Coupons.com Incorporated, $81.00 ,2,RAPUMPKIN,
300089284,2/19/2015 16:23,WhaleShark Media: RetailMeNot.com, $108.00 ,0,GMC2,
300089272,2/19/2015 13:23,"Ebates Performance Marketing, Inc.", $37.00 ,0,,
300089257,2/19/2015 9:49,Coupons.com Incorporated, $69.30 ,0,SAVE10CJ,
300089248,2/19/2015 8:26,Coupons.com Incorporated, $15.30 ,0,GLAM,
300089246,2/19/2015 7:59,Coupons.com Incorporated, $30.00 ,8,,
300089239,2/19/2015 6:54,WhaleShark Media: RetailMeNot.com, $25.20 ,0,save10cj,
300089190,2/18/2015 12:17,Coupons.com Incorporated, $49.50 ,1,beauty,
300089177,2/18/2015 11:18,Coupons.com Incorporated, $49.50 ,24,SAVE10CJ,
300089162,2/18/2015 8:32,WhaleShark Media: RetailMeNot.com, $158.40 ,14,ALSAVE10,
300089160,2/18/2015 8:09,"Ebates Performance Marketing, Inc.", $18.00 ,3,save10cj,
300089159,2/18/2015 7:54,"Ebates Performance Marketing, Inc.", $36.00 ,0,,
300089158,2/18/2015 7:48,WhaleShark Media: RetailMeNot.com, $26.50 ,2,,
300089135,2/17/2015 19:57,WhaleShark Media: RetailMeNot.com, $14.40 ,3,THANKU,
300089128,2/17/2015 19:35,Coupons.com Incorporated, $93.50 ,22,lincoln,
300089125,2/17/2015 19:12,Shopathome.com, $37.40 ,3,LINCOLN,
300089109,2/17/2015 16:54,Shopathome.com, $11.05 ,20,RHNY1,
300089100,2/17/2015 14:56,Coupons.com Incorporated, $44.19 ,0,mlag72,
300089098,2/17/2015 14:18,"Ebates Performance Marketing, Inc.", $126.40 ,2,LINCOLN2,
300089089,2/17/2015 14:06,BeFrugal.com, $396.00 ,6,lincoln2,
300089067,2/17/2015 11:17,Sundeep Lamba, $115.00 ,0,cupid2,Denied
300089066,2/17/2015 11:19,Coupons.com Incorporated, $39.10 ,0,MLAG72,
300089028,2/17/2015 7:16,"FatWallet, Inc.", $100.00 ,0,cupid2,Denied
300089044,2/17/2015 8:54,Coupons.com Incorporated, $8.50 ,0,MLAG72,
300089038,2/17/2015 8:37,WhaleShark Media: RetailMeNot.com, $27.20 ,0,MLAG72,
300089030,2/17/2015 7:27,WhaleShark Media: RetailMeNot.com, $27.20 ,10,MLAG72,
300089021,2/17/2015 6:33,Coupons.com Incorporated, $55.25 ,0,MLAG72,
300089008,2/17/2015 4:35,Coupons.com Incorporated, $24.65 ,10,LINCOLN ,
300089004,2/16/2015 22:47,WhaleShark Media: RetailMeNot.com, $46.75 ,7,MLAG72,
300088995,2/16/2015 20:08,Coupons.com Incorporated, $134.00 ,1,,
300088985,2/16/2015 18:59,WhaleShark Media: RetailMeNot.com, $32.00 ,0,MLAG72,
300088983,2/16/2015 18:07,Mega Information Technology Limited, $28.00 ,0,MLAG72,
300088979,2/16/2015 17:30,Coupons.com Incorporated, $59.50 ,1,MLAG72,
300088976,2/16/2015 17:24,Coupons.com Incorporated, $138.00 ,8,MLAG72,
300088972,2/16/2015 17:08,WhaleShark Media: RetailMeNot.com, $66.64 ,1,Beauty,
300088970,2/16/2015 16:37,Coupons.com Incorporated, $36.00 ,5,LINCOLN,
300088954,2/16/2015 15:01,"Ebates Performance Marketing, Inc.", $511.32 ,4,LINCOLN2,
300088938,2/16/2015 12:20,Extrabux, $569.00 ,16,MLAG72,
300088934,2/16/2015 12:06,"Ebates Performance Marketing, Inc.", $25.00 ,3,LINCOLN,
300088933,2/16/2015 11:54,Extrabux, $529.00 ,16,MLAG72,
300088901,2/16/2015 8:27,Coupons.com Incorporated, $109.00 ,0,mlag72,
300088896,2/16/2015 7:44,MicroWeb Technologies, $48.00 ,5,,
300088892,2/16/2015 7:13,Coupons.com Incorporated, $30.00 ,0,MLAG72,
