"Order ID",1,2,3,4,5
300098705,Completed,59.5,-1.33,58.17,
300098701,Completed,20,-0.53,19.47,
300098695,Completed,32.95,-0.83,32.12,
300098684,Completed,13.5,-0.46,13.04,
300098679,Completed,149.4,-3.04,146.36,
300098671,Completed,32.4,-0.82,31.58,
300098664,Refunded,408.95,-14.31,394.64,
300098639,Completed,24.3,-0.66,23.64,
300098638,Completed,998,-19.16,978.84,
300098636,Completed,28.19,-0.74,27.45,
300098610,Completed,14.4,-0.42,13.98,
300098602,Completed,24,-0.61,23.39,
300098597,Completed,150.77,-3.06,147.71,
300098592,Completed,18,-0.54,17.46,
300098589,Completed,126,-2.59,123.41,
300098571,Completed,76.15,-1.65,74.5,
300098569,Completed,444.5,-8.65,435.85,
300098566,Completed,4,-0.23,3.77,
300098554,Completed,24,-0.61,23.39,
300098551,Completed,84.08,-2.94,81.14,
300098548,Completed,77.76,-1.68,76.08,
300098543,Completed,99,-2.08,96.92,
300098529,Completed,81,-1.69,79.31,
300098521,Completed,103.15,-3.61,99.54,
300098512,Completed,130.5,-2.63,127.87,
300098511,Completed,25.2,-0.63,24.57,
300098496,Completed,34.02,-0.8,33.22,
300098495,Completed,61.62,-1.32,60.3,
300098494,Completed,32.95,-0.83,32.12,
300098493,Completed,38.7,-0.89,37.81,
300098482,Completed,323.65,-11.33,312.32,
300098460,Completed,94.16,-1.94,92.22,
300098458,Completed,53.95,-1.23,52.72,
300098444,Completed,61.11,-1.36,59.75,
300098438,Completed,22.36,-0.57,21.79,
300098431,Completed,55.8,-1.26,54.54,
300098418,Completed,19,-0.51,18.49,
300098408,Refunded,54.4,-1.9,52.5,
300098384,Held,797,-15.34,781.66,
300098377,Completed,118.8,-4.16,114.64,
300098368,Completed,30.6,-0.73,29.87,
300098367,Completed,15.3,-0.49,14.81,
300098359,Completed,254,-6.25,247.75,
300098357,Completed,96,-2.02,93.98,
300098352,Completed,49.57,-1.14,48.43,
300098318,Completed,43.75,-0.98,42.77,
300098281,Completed,243.45,-4.78,238.67,
300098272,Completed,36.9,-0.9,36,
300098271,Completed,31.5,-0.8,30.7,
300098269,Completed,27.19,-0.72,26.47,
300098254,Completed,116,-2.4,113.6,
300098230,Completed,173.77,-3.45,170.32,
300098220,Completed,170,-4.23,165.77,
300098208,Completed,96.25,-2.03,94.22,
300098195,Completed,39.6,-0.95,38.65,
300098185,Refunded,421.2,-8.2,413,
300098175,Completed,22.5,-0.63,21.87,
300098170,Completed,56.35,-1.27,55.08,
300098161,Completed,110,-2.29,107.71,
300098154,Completed,19.99,-0.53,19.46,
300098151,Completed,47.98,-1.06,46.92,
300098144,Completed,81.95,-1.71,80.24,
300098129,Completed,204,-5.05,198.95,
300098118,Completed,27,-0.66,26.34,
300098109,Completed,54,-1.23,52.77,
300098085,Completed,524,-10.11,513.89,
300098068,Completed,198.72,-3.98,194.74,
300098042,Completed,196,-3.87,192.13,
300098028,Completed,84,-1.75,82.25,
300098017,Completed,80,-1.72,78.28,
300098012,Completed,139.5,-4.88,134.62,
300098005,Completed,39.2,-0.94,38.26,
300097988,Completed,17.99,-0.54,17.45,
300097974,Completed,116,-2.4,113.6,
300097973,Completed,53.46,-1.22,52.24,
300097960,Completed,30.6,-0.78,29.82,
300097959,Completed,96.5,-1.98,94.52,
300097954,Completed,43.2,-0.97,42.23,
300097953,Completed,6.3,-0.27,6.03,
300097932,Completed,68.72,-1.51,67.21,
300097926,Completed,42.23,-0.95,41.28,
300097919,Completed,46.44,-1.08,45.36,
300097916,Completed,112.5,-3.94,108.56,
300097903,Completed,98,-2.06,95.94,
300097889,Completed,37.26,-0.86,36.4,
300097874,Completed,40.5,-0.92,39.58,
300097873,Completed,37.8,-1.32,36.48,
300097872,Completed,15.3,-0.44,14.86,
300097870,Completed,24.3,-0.66,23.64,
300097852,Completed,222.3,-4.42,217.88,
300097851,Completed,19.44,-0.57,18.87,
300097846,Completed,172,-3.47,168.53,
300097843,Completed,13.6,-0.41,13.19,
300097831,Completed,20.25,-0.53,19.72,
300097823,Completed,64.45,-1.42,63.03,
300097803,Completed,839,-16.14,822.86,
300097746,Completed,19.99,-0.7,19.29,
300097747,Completed,253.8,-8.88,244.92,
300097739,Completed,433.8,-15.18,418.62,
300097731,Completed,33,-0.78,32.22,
300097607,Completed,66.1,-1.41,64.69,
300097710,Completed,13.5,-0.46,13.04,
300097706,Completed,31.5,-0.75,30.75,
300097678,Refunded,139.97,-2.81,137.16,
300097672,Completed,118.08,-2.44,115.64,
300097655,Completed,128,-2.63,125.37,
300097633,Completed,150,-3.05,146.95,
300097632,Completed,34.83,-1.22,33.61,
300097611,Completed,14,-0.42,13.58,
300097603,Completed,201,-4.02,196.98,
300097602,Completed,40.5,-1.42,39.08,
300097601,Completed,30.6,-0.73,29.87,
300097587,Completed,210,-4.19,205.81,
300097559,Completed,118.05,-2.44,115.61,
300097557,Completed,22.36,-0.62,21.74,
300097551,Completed,226,-5.62,220.38,
300097545,Completed,12,-0.42,11.58,
300097534,Completed,210.9,-4.21,206.69,
300097525,Completed,13,-0.4,12.6,
300097523,Completed,109.95,-2.29,107.66,
300097520,Completed,9,-0.32,8.68,
300097515,"Partially Refunded",40.49,-0.97,39.52,
300097510,Completed,77.4,-1.67,75.73,
300097508,Completed,32.4,-0.82,31.58,
300097493,Completed,14,-0.47,13.53,
300097490,Completed,189.55,-3.8,185.75,
300097489,Completed,898,-17.26,880.74,
300097485,Completed,100.5,-3.52,96.98,
300097442,Completed,71.1,-1.5,69.6,
300097435,Completed,118,-2.44,115.56,
300097423,Completed,63,-2.21,60.79,
300097414,Completed,14.4,-0.47,13.93,
300097413,Completed,72,-1.52,70.48,
300097412,Completed,41.38,-0.94,40.44,
300097401,Completed,86,-1.78,84.22,
300097396,Refunded,8.1,-0.3,7.8,
300097387,Completed,75.6,-1.64,73.96,
300097339,Completed,63,-1.4,61.6,
300097334,Completed,73.6,-1.55,72.05,
300097319,Completed,198.94,-3.98,194.96,
300097310,Refunded,33.97,-0.8,33.17,
300097282,Completed,44.23,-0.99,43.24,
300097267,Completed,108.37,-2.26,106.11,
300097221,Completed,76.5,-1.65,74.85,
300097217,Completed,234.75,-4.61,230.14,
300097212,Completed,36.29,-0.84,35.45,
300097191,Completed,43.2,-0.97,42.23,
300097176,Completed,85.13,-2.98,82.15,
300097155,Completed,42,-0.95,41.05,
300097138,Completed,22.4,-0.58,21.82,
300097128,Completed,108.8,-2.27,106.53,
300097108,Completed,25.5,-0.68,24.82,
300097107,Completed,21.2,-0.6,20.6,
300097098,Completed,90,-1.86,88.14,
300097078,Completed,29.7,-0.71,28.99,
300097059,Completed,79.2,-1.7,77.5,
300097055,Refunded,162,-3.23,158.77,
300097053,Completed,52.2,-1.19,51.01,
300097022,Completed,239.2,-5.89,233.31,
300096994,Completed,32.4,-0.77,31.63,
300096991,Completed,91,-3.19,87.81,
300096990,Completed,79.2,-1.65,77.55,
300096974,Completed,77.88,-1.68,76.2,
300096955,Completed,32.4,-0.82,31.58,
300096947,Completed,116.11,-2.36,113.75,
300096943,Completed,36,-0.83,35.17,
300096937,Completed,131,-2.64,128.36,
300096929,Completed,35,-0.82,34.18,
300096923,Completed,88,-1.82,86.18,
300096915,Completed,28,-0.68,27.32,
300096903,Completed,41.65,-0.94,40.71,
300096891,Completed,30.29,-0.78,29.51,
300096866,Completed,8,-0.3,7.7,
300096858,Completed,16.52,-0.46,16.06,
300096844,Completed,63,-1.4,61.6,
300096840,Completed,34.02,-0.85,33.17,
300096836,Completed,42.5,-1.49,41.01,
300096833,Completed,66.37,-1.46,64.91,
300096831,Completed,718.4,-17.39,701.01,
300096829,"Partially Refunded",34.68,-0.86,33.82,
300096821,Completed,57.8,-1.3,56.5,
300096815,Completed,160.92,-3.26,157.66,
300096773,Completed,13.5,-0.41,13.09,
