Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,AGADIR2,"Agadir Hair Oil 2oz (Free with $75 Purchase)",3,$277.94,$0.00,$277.94,$277.94,$0.00,$277.94
2015,AGELESS,"Image Skincare Ageless Trial Kit (Free Gift with $75 Purchase)",3,$301.70,$0.00,$301.70,$301.70,$0.00,$301.70
2015,alex,"10% off alex cosmetic - &quot;ALEX&quot;",1,$146.00,$14.60,$131.40,$146.00,$14.60,$131.40
2015,ALSAVE10,"Storewide 10% Off Welcome Series!",16,"$1,031.50",$103.15,$928.35,"$1,031.50",$103.15,$928.35
2015,ALSAVE15,"Lollia, Tokyo, LOF, and Clayton 15% Off Code",56,"$3,792.50",$567.68,"$3,224.82","$3,792.50",$567.68,"$3,224.82"
2015,ALSAVE5,"Storewide 5% Off Welcome Series!",11,$639.15,$29.07,$610.08,$639.15,$29.07,$610.08
2015,ANNEM,"Eminence Blotting Sheets (Free with $30 Purchase)",1,$69.00,$0.00,$69.00,$69.00,$0.00,$69.00
2015,annvc,"Image Skincare Vital C Serum 1.7oz (Free with $200 Purchase)",5,"$1,230.70",$0.00,"$1,230.70","$1,230.70",$0.00,"$1,230.70"
2015,beauty,"Newsletter Welcome 10%",157,"$12,350.45","$1,204.85","$11,145.60","$12,350.45","$1,204.85","$11,145.60"
2015,Bgmd,"20% off Obagi!",40,"$6,078.50","$1,428.46","$4,650.04","$6,078.50","$1,428.46","$4,650.04"
2015,CCPAGE10,"CCPAGE 10% - Storewide - one time per customer ",4,$302.30,$30.23,$272.07,$302.30,$30.23,$272.07
2015,celebrity,"Celebrity E Book 10% Savings",1,$59.96,$6.00,$53.96,$59.96,$6.00,$53.96
2015,china,"Free shipping to China on $500+",1,$898.00,$0.00,$898.00,$898.00,$0.00,$898.00
2015,CLCL2,"Postcard #16 Clayton 20% off 119+!",3,$389.00,$77.80,$311.20,$389.00,$77.80,$311.20
2015,CLEARTRAVEL,"Popup - Free Travel Bottles over $100",3,$494.50,$0.00,$494.50,$494.50,$0.00,$494.50
2015,CSER,"Eminence Organics Couperose-C Serum 1oz Serum (Free with $200 Purchase)",3,$697.00,$0.00,$697.00,$697.00,$0.00,$697.00
2015,CSMEDICA,"15% off Cosmedica",2,$424.44,$52.46,$371.98,$424.44,$52.46,$371.98
2015,cupid,"Valentines Day 10% Off",98,"$5,112.20",$498.29,"$4,613.91","$5,112.20",$498.29,"$4,613.91"
2015,Cupid2,"Valintines Day $20 Off $100+",48,"$5,517.29",$920.00,"$4,597.29","$5,517.29",$920.00,"$4,597.29"
2015,CUPID3,"Valintines day $30 off $150+",32,"$5,279.35",$960.00,"$4,319.35","$5,279.35",$960.00,"$4,319.35"
2015,cupid4,"Valintines day $40 off $200+",47,"$11,135.27","$1,880.00","$9,255.27","$11,135.27","$1,880.00","$9,255.27"
2015,DQUEST2,"Dermaquest 25% Off Adwords code",44,"$7,235.59","$1,762.54","$5,473.05","$7,235.59","$1,762.54","$5,473.05"
2015,EALPHA,"Epicuren Alpha Lipoic Cream 1oz (Free Gift with $200 Purchase)",5,"$1,147.40",$0.00,"$1,147.40","$1,147.40",$0.00,"$1,147.40"
2015,EPAC,"Epicuren Acidolphilus 1oz (Free Gift with $125 Purchase - Video Email)",20,"$3,579.00",$0.00,"$3,579.00","$3,579.00",$0.00,"$3,579.00"
2015,EPAP,"Epicuren After Bath Moisturizer 2oz Papaya Pineapple (FREE Gift with $50 Purchase)",2,$195.00,$0.00,$195.00,$195.00,$0.00,$195.00
2015,EPKU,"Epicuren After Bath Moisturizer 2oz Kukui Coconut (FREE Gift with $50 Purchase)",18,"$1,217.00",$0.00,"$1,217.00","$1,217.00",$0.00,"$1,217.00"
2015,EPRW,"Epicuren Retinol Anti-Wrinkle Complex (Free with $300 Purchase)",2,$706.00,$0.00,$706.00,$706.00,$0.00,$706.00
2015,eptrl,"Epicuren Normal &amp; Anti-Aging Kit (Free with $50 Purchase)",1,$59.00,$0.00,$59.00,$59.00,$0.00,$59.00
2015,EYEREV7,"Rhonda Allison Eye Revitalizer .25oz (Free with $85 Purchase)",8,$967.00,$0.00,$967.00,$967.00,$0.00,$967.00
2015,family949,"Friends &amp; Family",8,$412.32,$136.07,$276.25,$412.32,$136.07,$276.25
2015,Freecleanserco,"Eminence Organics Coconut Cleanser (FREE Gift with $150 Purchase)",2,$346.00,$0.00,$346.00,$346.00,$0.00,$346.00
2015,glam,"Remarketing 15% Off Coupon",7,$581.81,$87.27,$494.54,$581.81,$87.27,$494.54
2015,GLMN25,"Glo Minerals 25% off promo (Over $50)",43,"$4,468.52","$1,046.55","$3,421.97","$4,468.52","$1,046.55","$3,421.97"
2015,Glocontour,"Glo Minerals Eye Contour Brush (Free Gift With $50 GloMinerals Purchase)",12,$794.76,$0.00,$794.76,$794.76,$0.00,$794.76
2015,"gloremover ","Glo Minerals Makeup Remover (Free with $75 Purchase)",1,$92.00,$0.00,$92.00,$92.00,$0.00,$92.00
2015,glshine,"Glo Minerals Lipgloss in Shine (Free with $50 Purchase)",1,$136.00,$0.00,$136.00,$136.00,$0.00,$136.00
2015,GMC2,"GM Collin Page Banner 20% (GMC2)",4,$449.00,$83.80,$365.20,$449.00,$83.80,$365.20
2015,GSER,"Eminence Green Tea &amp; Guava Serum (Free with $200 Purchase)",2,$639.00,$0.00,$639.00,$639.00,$0.00,$639.00
2015,hplgf,"Hydropeptide Purifying Mask Gift w/ $75",2,$290.00,$0.00,$290.00,$290.00,$0.00,$290.00
2015,Image,"15% off Image Skincare no expiration &quot;IMAGE&quot;",149,"$14,776.90","$2,146.95","$12,629.95","$14,776.90","$2,146.95","$12,629.95"
2015,IMAGE15,"Image Skincare Popup 15% Off (IMAGE15)",2,$87.50,$13.13,$74.37,$87.50,$13.13,$74.37
2015,j4you,"J4YOU 15% - 1 TIME USE",2,$224.90,$33.74,$191.16,$224.90,$33.74,$191.16
2015,jjacb25,"June Jacobs 25% Off Landing Page Code",14,"$1,474.00",$368.50,"$1,105.50","$1,474.00",$368.50,"$1,105.50"
2015,JUSTFRU,"Generic OPTIN Pop Up Code 10%",1,$45.00,$4.50,$40.50,$45.00,$4.50,$40.50
2015,LBDNUDE,"La Bella Don Nude Lipstick (FREE Gift with $75 Purchase)",1,$130.00,$0.00,$130.00,$130.00,$0.00,$130.00
2015,LBDPLAT,"La Bella Don Platinum Eyeshadow (FREE Gift with $50 Purchase)",3,$198.00,$0.00,$198.00,$198.00,$0.00,$198.00
2015,LINCOLN,"Presidents day 2015 15% off",114,"$7,775.17","$1,133.27","$6,641.90","$7,775.17","$1,133.27","$6,641.90"
2015,lincoln2,"Presidents day 2015 20% off $150+",47,"$12,243.18","$2,204.56","$10,038.62","$12,243.18","$2,204.56","$10,038.62"
2015,LIPBALM,"Eminence Organics Citrus Lip Balm (FREE Gift with $50 Purchase)",5,$550.00,$0.00,$550.00,$550.00,$0.00,$550.00
2015,LVELY,"Valentines day Lovely Bag",19,"$2,355.65",$0.00,"$2,355.65","$2,355.65",$0.00,"$2,355.65"
2015,MCVTK,"Popup - Free Image Vital C Kit over $75",8,$866.86,$0.00,$866.86,$866.86,$0.00,$866.86
2015,milkcleanse,"Epicuren Milk Cleanser 2oz (Free Gift with $85 Purchase)",9,"$1,014.00",$0.00,"$1,014.00","$1,014.00",$0.00,"$1,014.00"
2015,mlag72,"15% Off New Leads",118,"$10,174.08","$1,526.18","$8,647.90","$10,174.08","$1,526.18","$8,647.90"
2015,MYST,"Alana's Mystery Bag (Free with $150 Purchase)",1,$176.50,$0.00,$176.50,$176.50,$0.00,$176.50
2015,OBWASH,"Oxygen Botanicals Antiseptic Wash 2oz (Free with $50 Purchase) ",1,$52.10,$0.00,$52.10,$52.10,$0.00,$52.10
2015,parfait77,"Rhonda Allison Pumpkin Parfait Enzyme .5oz (Free Gift With $100 Purchase)",3,$331.00,$0.00,$331.00,$331.00,$0.00,$331.00
2015,pf210,"Pure Fiji Travel Body Set (Free with $75 Purchase)",1,$112.00,$0.00,$112.00,$112.00,$0.00,$112.00
2015,pmdsave2,"PMD 20% Off!",3,$679.00,$99.40,$579.60,$679.00,$99.40,$579.60
2015,PSTTRT,"Image SkinCare Post Treatment Trial Kit (Free Gift with $75)",1,$115.40,$0.00,$115.40,$115.40,$0.00,$115.40
2015,RADROPS,"Rhonda Allison Drops of Essence 1.7 (Free Gift with $200 Purchase)",5,"$1,108.00",$0.00,"$1,108.00","$1,108.00",$0.00,"$1,108.00"
2015,ragrowth,"Rhonda Allison Growth Factor Plus 0.25oz (Free Gift with $125)",1,$210.00,$0.00,$210.00,$210.00,$0.00,$210.00
2015,rapumpkin,"Rhonda Allison Pumpkin Cleanser 1oz (Free with $50 Purchase)",40,"$2,841.00",$0.00,"$2,841.00","$2,841.00",$0.00,"$2,841.00"
2015,RATR20,"20% TRIA RACHEL CODE",2,"$22,680.00","$4,536.00","$18,144.00","$22,680.00","$4,536.00","$18,144.00"
2015,reveal15,"Storewide 15% off code &quot;reveal15&quot;",3,$268.40,$40.26,$228.14,$268.40,$40.26,$228.14
2015,RHNY1,"Rhonda Allison Postcard #16 15% off",50,"$2,578.00",$379.51,"$2,198.49","$2,578.00",$379.51,"$2,198.49"
2015,RHNY2,"Rhonda Allison Postcard #16 20% off $199+",52,"$9,472.20","$1,882.84","$7,589.36","$9,472.20","$1,882.84","$7,589.36"
2015,roselave,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",4,$156.00,$0.00,$156.00,$156.00,$0.00,$156.00
2015,Save10,"Business Card Code 10%",101,"$8,542.22",$817.22,"$7,725.00","$8,542.22",$817.22,"$7,725.00"
2015,save10cj,"SAVE10CJ - 10% off any order - 3x Use - CJ",43,"$2,953.20",$295.32,"$2,657.88","$2,953.20",$295.32,"$2,657.88"
2015,SOCIAL,"Social Sharing 5% Coupon (ask Jared)",2,$58.75,$2.94,$55.81,$58.75,$2.94,$55.81
2015,STORE15,"Alana's Storewide 15%",1,$81.00,$12.15,$68.85,$81.00,$12.15,$68.85
2015,STSER,"Eminence Organic Stone Crop Serum (Free with $200 Purchase)",3,$622.40,$0.00,$622.40,$622.40,$0.00,$622.40
2015,SYSTEMS,"20% off Systems",2,"$1,382.00",$276.40,"$1,105.60","$1,382.00",$276.40,"$1,105.60"
2015,testtest,"test coupon code",1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2015,Tgbdy,"Free Gift Trilogy Aromatic Body Oil",1,$54.00,$0.00,$54.00,$54.00,$0.00,$54.00
2015,tgbshh,"FREE Trilogy Aromatic Body Oil 3.3oz",3,$158.00,$0.00,$158.00,$158.00,$0.00,$158.00
2015,thanku,"Returning Customer Business Card Code 10% off!",42,"$3,333.21",$313.82,"$3,019.39","$3,333.21",$313.82,"$3,019.39"
2015,trawen20,"20% TRIA WENDY CODE",1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2015,TRIALA,"Image Skincare Ageless Trial Kit (Free with $100 Purchase)",2,$255.00,$0.00,$255.00,$255.00,$0.00,$255.00
2015,TRIALV,"Image Skincare Vital C Trial Kit (Free with $100 Purchase)",1,$122.00,$0.00,$122.00,$122.00,$0.00,$122.00
2015,TROPLAVE,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",3,$134.00,$0.00,$134.00,$134.00,$0.00,$134.00
2015,VITALC1,"Image Postcard 16 - 15% Off",9,$623.90,$93.60,$530.30,$623.90,$93.60,$530.30
2015,VITALC2,"Image Postcard 16 - 20% Off Over $125",10,"$2,377.30",$374.86,"$2,002.44","$2,377.30",$374.86,"$2,002.44"
2015,VVNTB,"Free Gift Vivant Bleaching Serum",2,$457.20,$0.00,$457.20,$457.20,$0.00,$457.20
2015,xcal1,"Postcard #16 15% off OxygenBotanicals",5,$233.70,$35.07,$198.63,$233.70,$35.07,$198.63
2015,XCAL2,"Postcard #16 20% off OxygenBotanicals",2,$257.40,$45.08,$212.32,$257.40,$45.08,$212.32
2015,YBLVE2,"Youngblood 20% Off Promo",37,"$3,698.50",$702.60,"$2,995.90","$3,698.50",$702.60,"$2,995.90"
Total,,,1647,"$197,580.77","$28,226.72","$169,354.05","$197,580.77","$28,226.72","$169,354.05"
