Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,AGADIR2,"Agadir Hair Oil 2oz (Free with $75 Purchase)",4,$421.50,$0.00,$421.50,$421.50,$0.00,$421.50
2015,"Ageless ","Image Skincare Ageless Trial Kit (Free Gift with $75 Purchase)",2,$330.40,$0.00,$330.40,$330.40,$0.00,$330.40
2015,Alex,"10% off alex cosmetic - &quot;ALEX&quot;",1,$78.00,$7.80,$70.20,$78.00,$7.80,$70.20
2015,ALSAVE10,"Storewide 10% Off Welcome Series!",9,$528.40,$52.84,$475.56,$528.40,$52.84,$475.56
2015,alsave15,"Lollia, Tokyo, LOF, and Clayton 15% Off Code",65,"$5,591.75",$819.60,"$4,772.15","$5,591.75",$819.60,"$4,772.15"
2015,ALSAVE5,"Storewide 5% Off Welcome Series!",8,$686.57,$33.11,$653.46,$686.57,$33.11,$653.46
2015,ANNVC,"Image Skincare Vital C Serum 1.7oz (Free with $200 Purchase)",2,$431.70,$0.00,$431.70,$431.70,$0.00,$431.70
2015,BDYSPA,"Image Skincare Body Spa Trial Kit ",1,$83.70,$0.00,$83.70,$83.70,$0.00,$83.70
2015,beauty,"Newsletter Welcome 10%",97,"$6,903.40",$642.14,"$6,261.26","$6,903.40",$642.14,"$6,261.26"
2015,bgmd,"20% off Obagi!",2,$293.00,$58.60,$234.40,$293.00,$58.60,$234.40
2015,BRRR,"Cold Weather Weekend 15% off",125,"$8,312.79","$1,230.20","$7,082.59","$8,312.79","$1,230.20","$7,082.59"
2015,BRRR2,"Cold Weather Weekend 20% off",99,"$19,921.17","$3,822.64","$16,098.53","$19,921.17","$3,822.64","$16,098.53"
2015,CCPAGE10,"CCPAGE 10% - Storewide - one time per customer ",1,$42.00,$4.20,$37.80,$42.00,$4.20,$37.80
2015,celebrity,"Celebrity E Book 10% Savings",1,$135.70,$13.57,$122.13,$135.70,$13.57,$122.13
2015,CLEARTRAVEL,"Popup - Free Travel Bottles over $100",3,$314.50,$0.00,$314.50,$314.50,$0.00,$314.50
2015,CLSE,"Osmosis Cleanse 1.7oz (Free Gift with $65 Purchase)",2,$188.00,$0.00,$188.00,$188.00,$0.00,$188.00
2015,COCONUTSCRUB,"Eminence Organics Scrub Coconut Scrub (FREE Gift with $200 Purchase)",1,$208.80,$0.00,$208.80,$208.80,$0.00,$208.80
2015,cranscrub,"Eminence Organics Scrub Cranberry Pomegranate Scrub (FREE Gift with $200 Purchase)",1,$216.00,$0.00,$216.00,$216.00,$0.00,$216.00
2015,DQUEST2,"Dermaquest 25% Off Adwords code",29,"$4,465.00","$1,067.77","$3,397.23","$4,465.00","$1,067.77","$3,397.23"
2015,ealpha,"Epicuren Alpha Lipoic Cream 1oz (Free Gift with $200 Purchase)",5,"$1,177.00",$0.00,"$1,177.00","$1,177.00",$0.00,"$1,177.00"
2015,EMNMN,"Emani Landing Page Banner 15% (EMNMN)",2,$158.00,$23.70,$134.30,$158.00,$23.70,$134.30
2015,EPAC,"Epicuren Acidolphilus 1oz (Free Gift with $125 Purchase - Video Email)",15,"$2,556.50",$0.00,"$2,556.50","$2,556.50",$0.00,"$2,556.50"
2015,Epap,"Epicuren After Bath Moisturizer 2oz Papaya Pineapple (FREE Gift with $50 Purchase)",1,$65.00,$0.00,$65.00,$65.00,$0.00,$65.00
2015,EPKU,"Epicuren After Bath Moisturizer 2oz Kukui Coconut (FREE Gift with $50 Purchase)",23,"$2,076.00",$0.00,"$2,076.00","$2,076.00",$0.00,"$2,076.00"
2015,epog,"Epicuren After Bath Moisturizer 2oz Orange Blossom (FREE Gift with $50 Purchase)",2,$260.00,$0.00,$260.00,$260.00,$0.00,$260.00
2015,EPTRL,"Epicuren Normal &amp; Anti-Aging Kit (Free with $50 Purchase)",2,$210.00,$0.00,$210.00,$210.00,$0.00,$210.00
2015,epuc,"Epicuren After Bath Moisturizer 2oz Unscented (FREE Gift with $50 Purchase)",5,$589.40,$0.00,$589.40,$589.40,$0.00,$589.40
2015,EYEREV7,"Rhonda Allison Eye Revitalizer .25oz (Free with $85 Purchase)",15,"$1,789.45",$0.00,"$1,789.45","$1,789.45",$0.00,"$1,789.45"
2015,family949,"Friends &amp; Family",7,$657.39,$222.20,$435.19,$657.39,$222.20,$435.19
2015,FREECLEANSERCO,"Eminence Organics Coconut Cleanser (FREE Gift with $150 Purchase)",1,$169.00,$0.00,$169.00,$169.00,$0.00,$169.00
2015,FREECLEANSERL,"Eminence Organics Lemon Cleanser (FREE Gift with $150 Purchase)",1,$155.00,$0.00,$155.00,$155.00,$0.00,$155.00
2015,GLAM,"Remarketing 15% Off Coupon",6,$531.90,$79.79,$452.11,$531.90,$79.79,$452.11
2015,GLMN25,"Glo Minerals 25% off promo (Over $50)",31,"$2,950.00",$650.92,"$2,299.08","$2,950.00",$650.92,"$2,299.08"
2015,GLOCONTOUR,"Glo Minerals Eye Contour Brush (Free Gift With $50 GloMinerals Purchase)",16,"$1,257.92",$0.00,"$1,257.92","$1,257.92",$0.00,"$1,257.92"
2015,GMC2,"GM Collin Page Banner 20% (GMC2)",7,"$1,082.00",$211.40,$870.60,"$1,082.00",$211.40,$870.60
2015,HESER,"Eminence Organic Herbal Spot Serum (Free with 200 Purchase)",1,$230.00,$0.00,$230.00,$230.00,$0.00,$230.00
2015,HPEYE,"Hydropeptide Eye Authority (Free Gift with $200 Purchase or more)",1,$368.50,$0.00,$368.50,$368.50,$0.00,$368.50
2015,image,"15% off Image Skincare no expiration &quot;IMAGE&quot;",165,"$15,372.55","$2,204.86","$13,167.69","$15,372.55","$2,204.86","$13,167.69"
2015,IMAGE15,"Image Skincare Popup 15% Off (IMAGE15)",3,$220.90,$33.15,$187.75,$220.90,$33.15,$187.75
2015,ISCLEANSING,"iSClinical Cleansing Complex 2oz (FREE Gift with $100 Purchase)",1,$128.00,$0.00,$128.00,$128.00,$0.00,$128.00
2015,J4YOU,"J4YOU 15% - 1 TIME USE",4,"$1,141.20",$167.85,$973.35,"$1,141.20",$167.85,$973.35
2015,jfy15,"JFY15 15% - 1 TIME USE",1,$70.00,$10.50,$59.50,$70.00,$10.50,$59.50
2015,JJACB25,"June Jacobs 25% Off Landing Page Code",10,"$1,224.00",$306.00,$918.00,"$1,224.00",$306.00,$918.00
2015,LBDNUDE,"La Bella Don Nude Lipstick (FREE Gift with $75 Purchase)",3,$493.50,$0.00,$493.50,$493.50,$0.00,$493.50
2015,LIPBALM,"Eminence Organics Citrus Lip Balm (FREE Gift with $50 Purchase)",8,$822.50,$0.00,$822.50,$822.50,$0.00,$822.50
2015,MCVTK,"Popup - Free Image Vital C Kit over $75",6,$711.50,$0.00,$711.50,$711.50,$0.00,$711.50
2015,MH20,"Mad Hippie 20% Off",1,$33.99,$6.80,$27.19,$33.99,$6.80,$27.19
2015,MILKCLEANSE,"Epicuren Milk Cleanser 2oz (Free Gift with $85 Purchase)",7,"$1,119.00",$0.00,"$1,119.00","$1,119.00",$0.00,"$1,119.00"
2015,MIMOSASCRUB,"Eminence Organics Scrub Mimosa Champagne Scrub (FREE Gift with $200 Purchase)",1,$567.00,$0.00,$567.00,$567.00,$0.00,$567.00
2015,MLAG72,"15% Off New Leads",224,"$19,005.80","$2,810.62","$16,195.18","$19,005.80","$2,828.61","$16,177.19"
2015,More,"New Year 2015 Sale 10% Off (MORE)",58,"$2,724.15",$269.62,"$2,454.53","$2,724.15",$269.62,"$2,454.53"
