Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,AGADIR2,"Agadir Hair Oil 2oz (Free with $75 Purchase)",4,$338.90,$0.00,$338.90,$338.90,$0.00,$338.90
2015,ageless,"Image Skincare Ageless Trial Kit (Free Gift with $75 Purchase)",6,$600.41,$0.00,$600.41,$600.41,$0.00,$600.41
2015,ALSAVE10,"Storewide 10% Off Welcome Series!",12,$818.43,$78.13,$740.30,$818.43,$78.13,$740.30
2015,Alsave15,"Lollia, Tokyo, LOF, and Clayton 15% Off Code",40,"$3,057.95",$450.90,"$2,607.05","$3,057.95",$450.90,"$2,607.05"
2015,Alsave5,"Storewide 5% Off Welcome Series!",7,$531.35,$26.58,$504.77,$531.35,$26.58,$504.77
2015,ANNEM,"Eminence Blotting Sheets (Free with $30 Purchase)",1,$57.00,$0.00,$57.00,$57.00,$0.00,$57.00
2015,annvc,"Image Skincare Vital C Serum 1.7oz (Free with $200 Purchase)",6,"$1,298.14",$0.00,"$1,298.14","$1,298.14",$0.00,"$1,298.14"
2015,Beauty,"Newsletter Welcome 10%",115,"$8,401.06",$823.40,"$7,577.66","$8,401.06",$823.40,"$7,577.66"
2015,BGMD,"25% off Obagi Landing Page",7,$905.00,$226.25,$678.75,$905.00,$226.25,$678.75
2015,BLGLVE,"Blog Sign Up 15% Off",2,$206.00,$30.90,$175.10,$206.00,$30.90,$175.10
2015,Canada,"Free shipping to Canada on $125+",2,$353.50,$0.00,$353.50,$353.50,$0.00,$353.50
2015,celebrity,"Celebrity E Book 10% Savings",1,$194.00,$16.80,$177.20,$194.00,$16.80,$177.20
2015,CLCL2,"Postcard #16 Clayton 20% off 119+!",8,"$1,621.00",$324.20,"$1,296.80","$1,621.00",$324.20,"$1,296.80"
2015,cleartravel,"Popup - Free Travel Bottles over $100",1,$105.60,$0.00,$105.60,$105.60,$0.00,$105.60
2015,CLSE,"Osmosis Cleanse 1.7oz (Free Gift with $65 Purchase)",2,$267.00,$0.00,$267.00,$267.00,$0.00,$267.00
2015,CMEP,"Epicuren Retinol Anti-Wrinkle Complex 1.7oz (Free with $138 Purchase)",1,$200.00,$0.00,$200.00,$200.00,$0.00,$200.00
2015,CNBG,"100% Pure Cotton Tote Bag (Free with $50 Purchase)",1,$59.50,$0.00,$59.50,$59.50,$0.00,$59.50
2015,crn3,"Eminence Organics Cornflower Recovery Serum (FREE Gift with $300 Purchase)",1,$366.00,$0.00,$366.00,$366.00,$0.00,$366.00
2015,CSER,"Eminence Organics Couperose-C Serum 1oz Serum (Free with $200 Purchase)",2,$473.00,$0.00,$473.00,$473.00,$0.00,$473.00
2015,CSMEDICA,"15% off Cosmedica",2,$340.69,$51.11,$289.58,$340.69,$51.11,$289.58
2015,DAYSAVE,"2015 Day Lights Savings 10% off",45,"$3,006.69",$294.87,"$2,711.82","$3,006.69",$294.87,"$2,711.82"
2015,daysave2,"2015 Day Lights Savings 20% Off",45,"$12,216.43","$2,267.74","$9,948.69","$12,216.43","$2,267.74","$9,948.69"
2015,DGD1,"Dermalogica Postcard #16",2,$148.00,$22.20,$125.80,$148.00,$22.20,$125.80
2015,DMGSHH,"Cheers to Happy Skin Success Coupon (Free Gift)",9,$498.00,$0.00,$498.00,$498.00,$0.00,$498.00
2015,dquest2,"Dermaquest 25% Off Adwords code",29,"$6,034.65","$1,497.67","$4,536.98","$6,034.65","$1,497.67","$4,536.98"
