Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2014,agadir2,"Agadir Hair Oil 2oz (Free with $75 Purchase)",2,$264.00,$0.00,$264.00,$264.00,$0.00,$264.00
2014,Alana,"Anniversary Week 10% Off any order!",62,"$3,572.65",$357.27,"$3,215.38","$3,572.65",$357.27,"$3,215.38"
2014,alana2,"Anniversary $20 Off Orders $100+!",57,"$6,863.25","$1,140.00","$5,723.25","$6,863.25","$1,140.00","$5,723.25"
2014,ALANA3,"Anniversary $30 Off Orders $150+!",23,"$3,936.28",$690.00,"$3,246.28","$3,936.28",$690.00,"$3,246.28"
2014,alana4,"Anniversary $40 off orders $200!",52,"$13,190.80","$2,080.00","$11,110.80","$12,475.80","$1,960.00","$10,515.80"
2014,ALEX,"10% off alex cosmetic - &quot;ALEX&quot;",1,$92.00,$9.20,$82.80,$92.00,$9.20,$82.80
2014,ALSAVE15,"Lollia, Tokyo, LOF, and Clayton 15% Off Code",9,$498.75,$67.50,$431.25,$498.75,$67.50,$431.25
2014,ANNVC,"Image Skincare Vital C Serum 1.7oz (Free with $200 Purchase)",1,$212.50,$0.00,$212.50,$212.50,$0.00,$212.50
2014,BEAUTY,"Newsletter Welcome 10%",1,$45.00,$4.50,$40.50,$0.00,$0.00,$0.00
2014,CAMOBRUSH,"Glo Minerals Camouflage Brush (FREE Gift With $50 Purchase) ",1,$58.00,$0.00,$58.00,$58.00,$0.00,$58.00
2014,CCPAGE10,"CCPAGE 10% - Storewide - one time per customer ",16,$886.00,$86.60,$799.40,$874.50,$85.45,$789.05
2014,CLNP2,"Postcard #14 20% off Clayton $125+!",1,$375.00,$75.00,$300.00,$375.00,$75.00,$300.00
2014,clse,"Osmosis Cleanse 1.7oz (Free Gift with $65 Purchase)",1,$100.00,$0.00,$100.00,$100.00,$0.00,$100.00
2014,cmep,"Epicuren Retinol Anti-Wrinkle Complex 1.7oz (Free with $138 Purchase)",3,$427.99,$0.00,$427.99,$427.99,$0.00,$427.99
2014,DLGAP,"Postcard #14 15% off Dermalogica!",1,$36.00,$5.40,$30.60,$36.00,$5.40,$30.60
2014,DQUEST2,"Dermaquest 25% Off Adwords code",8,"$1,144.00",$286.00,$858.00,"$1,144.00",$286.00,$858.00
