Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,Agadir2,"Agadir Hair Oil 2oz (Free with $75 Purchase)",3,$510.47,$0.00,$510.47,$510.47,$0.00,$510.47
2015,ageless,"Image Skincare Ageless Trial Kit (Free Gift with $75 Purchase)",2,$207.90,$0.00,$207.90,$207.90,$0.00,$207.90
2015,alanaec,"15% OFF Alana Mitchell’s Anti-Aging Peptide Eye Cream",4,$195.00,$29.25,$165.75,$195.00,$29.25,$165.75
2015,ALANAEYE,"Free gift $49+ Alana Mitchell Anti-Aging Peptide Eye Cream",2,$123.00,$0.00,$123.00,$123.00,$0.00,$123.00
2015,ALANAEYEC,"15% OFF Alana Mitchell’s Eye Cream Affiliate",2,$160.00,$24.00,$136.00,$160.00,$24.00,$136.00
2015,alanagift,"Free gift $50+ Alana Mitchell Anti-Aging Peptide Eye Cream",40,"$3,269.88",$0.00,"$3,269.88","$3,269.88",$0.00,"$3,269.88"
2015,ALEX,"10% off alex cosmetic - &quot;ALEX&quot;",1,$372.00,$37.20,$334.80,$372.00,$37.20,$334.80
2015,alsave10,"Storewide 10% Off Welcome Series!",15,"$1,539.80",$148.58,"$1,391.22","$1,539.80",$148.58,"$1,391.22"
2015,Alsave15,"Lollia, Tokyo, LOF, and Clayton 15% Off Code",52,"$3,610.00",$541.50,"$3,068.50","$3,610.00",$541.50,"$3,068.50"
2015,ALSAVE5,"Storewide 5% Off Welcome Series!",3,$235.00,$11.75,$223.25,$235.00,$11.75,$223.25
2015,ANNVC,"Image Skincare Vital C Serum 1.7oz (Free with $200 Purchase)",7,"$1,548.70",$0.00,"$1,548.70","$1,548.70",$0.00,"$1,548.70"
2015,BEAUTY,"Newsletter Welcome 10%",210,"$14,854.17","$1,476.67","$13,377.50","$14,854.17","$1,476.67","$13,377.50"
2015,bgmd,"25% off Obagi Landing Page",20,"$2,919.81",$648.98,"$2,270.83","$2,919.81",$648.98,"$2,270.83"
2015,Blglve,"Blog Sign Up 15% Off",12,"$1,307.80",$170.44,"$1,137.36","$1,307.80",$170.44,"$1,137.36"
2015,CAMOBRUSH,"Glo Minerals Camouflage Brush (FREE Gift With $50 Purchase) ",1,$62.00,$0.00,$62.00,$62.00,$0.00,$62.00
2015,CANADA,"Free shipping to Canada on $125+",1,$148.00,$0.00,$148.00,$148.00,$0.00,$148.00
2015,Canada10FS,"FREE CANADA SHIPPING SAVE 10%",2,$428.50,$42.85,$385.65,$428.50,$42.85,$385.65
2015,Clarisonic20,"20% off Clarisonic Mia 1",1,$99.00,$19.80,$79.20,$99.00,$19.80,$79.20
2015,Cleartravel,"Popup - Free Travel Bottles over $100",1,$108.00,$0.00,$108.00,$108.00,$0.00,$108.00
2015,clse,"Osmosis Cleanse 1.7oz (Free Gift with $65 Purchase)",1,$99.00,$0.00,$99.00,$99.00,$0.00,$99.00
2015,"CNBG ","100% Pure Cotton Tote Bag (Free with $50 Purchase)",1,$92.00,$0.00,$92.00,$92.00,$0.00,$92.00
2015,CORESTREAM15,"Corestream.com Delaine Affiliate",1,$16.50,$2.48,$14.02,$16.50,$2.48,$14.02
2015,cser,"Eminence Organics Couperose-C Serum 1oz Serum (Free with $200 Purchase)",1,$201.00,$0.00,$201.00,$201.00,$0.00,$201.00
2015,csmedica,"15% off Cosmedica",3,$97.37,$11.61,$85.76,$97.37,$11.61,$85.76
2015,DADGRAD10,"10% off regular price items + free shipping on US orders",59,"$3,959.43",$395.96,"$3,563.47","$3,959.43",$395.96,"$3,563.47"
